Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILKCUKI	25FROG	26GHI	27SALT	28RHOM
%(-7760100407646420812)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(3930625293375839610)%	-	"The side opposite to ED is AB. Therefore, they are parallel and have the same length. This means they will share the same ""code"" representing the length too!"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2b),""NT and EA are both 10, and EN and AT are both 12 %(unt1)%. You can either do 10 + 12 + 10 + 12 or the faster way, (10 + 12) * 2."",""In order to figure out the perimeter, you must know the lengths of at least 1 base and 1 side adjacent to the base.  Have you filled in lengths for %(Ans1_a)% and %(Ans1_b)%?"")%>"	"<%=ifThen(hasValue(question2c,question2e),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for CUKI's height, you need to know the base(b) and the area(A) of CUKI first. Have you filled out the length of the base and the value of the area yet?"")%>"	"<%=ifThen(hasValue(question0d),concat(""The label you entered under 'Height #2 (perpend. to base 2)' is "",question0d,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, FR and %(Ans1_d)% are perpendicular. Which one is the height?"")%>"	-	-	-
%(2866119199652265772)%	-	-	-	-	-	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-	-	"There are two possible heights in this problem. Your partner only measured AN, so you should find the height that is perpendicular to AN."	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	The base #1 (RO) is already labeled for you! All you have to do is find the height that is perpendicular to the base #1 (RO).	Keep in mind that the altitude (or height) of a triangle is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	Keep in mind that the altitude (or height) of a parallelogram is always perpendicular to the base. You can start by finding a perpendicular pair of segments. 	-
%(-2251264327422566743)%	-	-	-	-	-	-	-	-	-	-	-	The perimeter is the sum of the lengths of all the sides of a geometry. What is the perimeter of NEAT in Question3?	-	"You are looking for the length of the height, BG, which is height #2. <%=ifThen(hasValue(question3d,question3e),""You can find the height(h), if the base(b) and the area(A) is given! Just remember that area (A) = 'base' * 'height'"",""What do you need to know in order to solve for the unknown height?"")%>"	-	-	-
%(6678851750008571289)%	-	-	-	-	-	"That side may look like a height because it is vertical, but is there a base perpendicular to it? Remember, it is base that MUST be a side of a parallelogram, not heights!"	-	"The side you entered is neither a base or a height. It is not a side of a parallelogram, and it does not have a base(a side of a parallelogram) perpendicular to it!"	You don't want to use that height! You must use the height that is perpendicular to the base your partner measured! The height you entered is perpendicular to AN and LD.	-	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the MO is MV, but MV is not a base because it is not a side of EVO. "	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	"That side may look like a height, but the only segment perpendicular to it is a dotted-line segment; that cannot be a base! Base MUST be a side of the parallelogram."	The side you entered cannot be a height; it doesn't have any side perpendicular to it.	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the QA is SQ, but SQ is not a base because it is not a side of SALT. "	-
%(5645095929167651022)%	-	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the triangle's base here. Not sure which segment is the base? What is the label of the base segment?	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the triangle's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the triangle's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the triangle's base here."")%>"	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram MILK's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram MILK's base here."")%>"	Enter the length of the parallelogram's base #1 here. Not sure which segment is base #1? What is the label of base #1?	"<%=ifThen(hasValue(question0a),""Enter the length of the triangle's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the triangle's base here."")%>"	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?
%(-8191748067754327344)%	-	"All parallelograms have a rule where two opposite sides are always parallel, and always have the same length! That means ED is parallel AND have the same length to which side?"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question1a,question1b),""You are only given the lengths of 2 sides this time: NT and NE. But did you know that parallel sides on a parallelogram have the equal length? That means you already know the lengths of two other sides, EA and AT."",""Are you sure you are ready to answer this part?"")%>"	"Take a look at the diagram label of this column, or under ""Height of CUKI"". What is the name or the label of the segment that represents the height?"	x	-	-	"Open the glossary and search for ""Area - Parallelogram"". "
%(5645090929203651159)%	-	"<%=ifThen(regExMatch(""AE|EA"",question0a),""The base (AE) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",question0a,"" is parallel to %(trgtBase1)%, "",question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(regExMatch(""FE|EF"",question0a),""The base (FE) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",question0a,"" is parallel to %(trgtBase1)%, "",question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(regExMatch(""FA|AF"",question0a),""The base (FA) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",question0a,"" is parallel to %(trgtBase1)%, "",question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(regExMatch(""RO|OR"",question0a),""The base (RO) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",question0a,"" is parallel to %(trgtBase1)%, "",question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""KL|LK"",question0a),""Question1 has given you KL = %(Ans2_a)%. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you KL = %(Ans2_a)%. Since "",question0a,"" is parallel to KL, "",question0a,"" = %(Ans2_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	The base (AC) is 7.1 %(unit1word)% long.	"<%=ifThen(regExMatch(""SN|NS"",question0a),""The base (SN) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",question0a,"" is parallel to %(trgtBase1)%, "",question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""AN|NA"",question0a),""Question1 has given you AN = %(Ans2_a)%. Enter %(Ans2_a)% in the highlighted field."",""Question1 has given you AN = %(Ans2_a)%. Since %(Base1_alt)% is parallel to %(trgtBase1)%, %(Base1_alt)% = %(Ans2_a)% as well.""),""Your partner only measured AN. Enter its length into the highlighted area."")%>"	The base (SW) is 10 %(unit1word)% long.	"<%=ifThen(hasValue(question0a),""Enter 6.9 into the highlighted area."",""Only one of the 3 sides of a triangle can be a 'base'. Therefore, EV is the base. Enter its length into the highlighted area."")%>"	"<%=ifThen(regExMatch(""EA|AE"",question0a),""The base (NT) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = %(Ans2_a)%. Since "",question0a,"" is parallel to %(trgtBase1)%, "",question0a,"" = %(Ans2_a)% as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""LK|LK"",question0a),""Question1 has given you LK = %(Ans2_a)%. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you LK = %(Ans2_a)%. Since "",question0a,"" is parallel to LK, "",question0a,"" = %(Ans2_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	Base #1 (RO) is 27 %(unit1word)% long. Enter 27 into the highlighted area.	"<%=ifThen(hasValue(question0a),""Enter 8.5 into the highlighted area."",""Only one of the 3 sides of a triangle can be a 'base'. Therefore, HI is the base. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""ST|TS"",question0a),""Question1 has given you ST = %(Ans2_a)%. Enter %(Ans2_a)% into the highlighted area."",concat(""Question1 has given you ST = %(Ans2_a)%. Since "",question0a,"" is parallel to ST, "",question0a,"" = %(Ans2_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	"Since RH = 24 ft, rest of the sides of RHOM are also 24 %(unit1word)% long. Enter 24 into the highlighted area."
%(4735703754941489462)%	-	"<%=ifThen(hasValue(question2c, question2d),""If you figured out the perimeter already, how did you figure it out? You added lengths of all 4 sides: 6+6+14+(Ans2_b)% = %(Ans2_c)%. Now it is time to the do the same thing with 'S' and 'T'."",""Some of the expressions in this row is missing. Have you filled out the letters represented for %(Ans1_c)% and %(Ans1_d)% yet?"")%>"	-	-	-	-	-	-	-	-	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square centimeters"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	"Open the glossary and search for ""Area - Parallelogram"". "	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square inches"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	-	-	-
%(-6701243271828411277)%	-	-	-	-	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	"<%=ifThen(hasValue(question0b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	-	"<%=ifThen(hasValue(question2b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	"<%=ifThen(hasValue(question2b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	-	-	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	-	"<%=ifThen(hasValue(question0b),""Enter the length of the parallelogram's height #1 here. You entered the correct label for height #1, so enter that segment's length here."",""Enter the length of the parallelogram's height #1 here."")%>"	-	"<%=ifThen(hasValue(question0b),""Enter the length of the parallelogram's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of the parallelogram's height here."")%>"	-
%(-8191747067762327309)%	-	"Did you know that parallel sides on a parallelogram have the SAME length? Knowing this, how would you find the length of ED?"	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all the sides of a geometry.	Enter the length of the parallelogram CUKI's height here. Not sure which segment that is? What is the label of the height segment?	x	-	-	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary."
%(-6928896792123557557)%	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.	You've done everything correctly. Please click on the 'done' button to move on.
%(2866122199688265853)%	-	-	-	-	-	NL is the height because it is perpendicular to the base. Enter NL into the highlighted area.	-	-	BD is the height between AN and %(Base1_alt)%; it is perpendicular to both AN and %(Base1_alt)%. Enter BD into the highlighted area.	KE is the height because it is perpendicular to the base. Enter KE into the highlighted area.	MV is the height because it is perpendicular to the base. Enter MV into the highlighted area.	-	IJ is the height because it is perpendicular to the base. Enter IJ into the highlighted area.	AG is height #1 because it is perpendicular to the base #1. Enter AG into the input box.	GJ is the height because it is perpendicular to the base. Enter GJ into the highlighted area.	SQ is the height because it is perpendicular to the base. Enter SQ into the highlighted area.	-
%(-7760094407610420738)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(-5166532556208710060)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(3930626293383839605)%	-	"The letter under AB's column is ""T"". Therefore %(Ans1_d)% is also ""%(Ans3_d)%"". Enter %(Ans3_d)% into the highlighted area."	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2b),""The perimeter of parallelogram NEAT is (10 + %(Ans3_b)%) * 2 = %(Ans3_d)%."",""Fill in the lengths of %(Ans1_a)% and %(Ans1_b)%, then come back to this field!"")%>"	"<%=ifThen(hasValue(question2c,question2e),""Now do the same thing with 300(area) and 50(base); divide 300 by 50: 300/50 = %(Ans3_d)%."",""Fill in the length of the base and the value of the area for the parallelogram CUKI, then come back to this field!"")%>"	"<%=ifThen(hasValue(question0d),""AG is 10 %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base #2 is %(Ans1_c)%. That only leaves %(Ans1_d)% to be height #2. Enter its length into the highlighted area."")%>"	-	-	-
%(-6701244271820411312)%	-	-	-	-	"Take a look at the diagram label of this column, or under ""Height of ROFL"". What is the name or the label of the segment that represents the height?"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of JKLM'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	"<%=ifThen(hasValue(question2b),""What is the label of the height segment you entered under 'Only known Height for SPIN' for Question2?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while on '%(rowLabel4)%'' row to get help finding the height."")%>"	"<%=ifThen(hasValue(question2b),""What is the label of the height segment you entered under 'Height of LAND' for Question2?"",""You have not entered the label for your height yet. Remember that, in this problem, you have two heights! Which height is perpendicular to the base with a known length?"")%>"	-	-	"Take a look at the diagram label of this column, or under ""Side adjacent to the base"". The label for the segment adjacent to the base is displayed as NE. Enter the length of NE."	-	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height #1 (perpend. to base 1)'?"",""You have not entered the label for your height #1 yet. If you don't know which segment is height #1, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height of SALT'?"",""You have not entered the label for your height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-
%(5007283996967236848)%	-	-	-	-	-	-	-	-	-	-	-	-	-	"There is a dotted line extending out of FR, creating a longer segment, RB. Notice a tiny square where RB and BG meets. This means they are perpendicular to each other. "	-	-	-
%(-3269490933015333527)%	-	AE's length is 6 %(unt1)%. Therefore %(Ans1_c)%'s length is 6 %(unt1)% too! Enter %(Ans2_c)% in the highlighted area.	"<%=ifThen(hasValue(question1a,question1b),""The perimeter of the parallelogram FIRE is (6 + %(Ans2_b)%) * 2 = %(Ans2_c)%."",""Fill in lengths of FI and FE, then come back to this field!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 8) by the height (FS = %(Ans2_b)%). Therefore, A = 8 * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 40) by the height (OP = %(Ans2_b)%). Therefore, A = 40 * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 7.2) by the height (NL = %(Ans2_b)%). Therefore, A = 7.2 * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""Substitute the values into the formula. You get: A = (7.1 * 5) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 3) by the height (IJ = %(Ans2_b)%). Therefore, A = 3 * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 10) by the height (BD = %(Ans2_b)%). Therefore, A = 10 * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""Substitute the values into the formula. You get: A = (10 * 20) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""Substitute the values into the formula. You get: A = (6.9 * 5.5) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	The height (MN) is 6 %(unit1word)% long.	"<%=ifThen(hasValue(question1d,question1e),""Now do the same thing with 5400(CUKI's area) and 10(CUKI's height); divide 5400 by 10: 5400/10 = %(Ans2_c)%."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%>"	"<%=ifThen(regExMatch(""FR|RF"",question0c), ""Base #2 (FR) is 9 %(unit1word)% long. Enter 9 into the highlighted area."",concat(""Question1 has given you %(trgtBase1)% = 9. Since "",question0c,"" is parallel to %(trgtBase1)%, "",question0c,"" = 9 as well.""))%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""Substitute the values into the formula. You get: A = (8.5 * 16.4) / 2, which comes out to %(Ans2_c)%.""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 0.15) by the height (SQ = %(Ans2_b)%). Therefore, A = 0.15 * %(Ans2_b)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"<%=ifThen(hasValue(question1a),""The perimeter of a rhombus RHOM is 24 * 4 = %(Ans2_c)%."",""Fill in the length of %(Ans1_a)%, then return to this field!"")%>"
%(-7760097407642420827)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(-995994641171293997)%	-	"<%=ifThen(hasValue(question1a,question1b,question1c,question1d),""The perimeter of the parallelogram ABDE is (6 + %(Ans2_b)%) * 2 = %(Ans2_e)%."",""Fill in the lengths of all sides and come back to this field!"")%>"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question1a,question1c),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 5.5) by the height (MN = %(Ans2_c)%). Therefore, A = 5.5 * %(Ans2_c)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"Enter the area of parallelogram MILK and CUKI 's area, 5400."	"<%=ifThen(hasValue(question1a,question1b),concat(""FR is base #1, which is perpendicular to height #1, AG. Multiply the lengths of base #1 and height #1 together to get the area. A = 27 * %(Ans2_b)%.""),""Looks like you are missing some lengths you need to know in order to calculate the area. Fill in the rest of this row and come back to this field!"")%>"	-	-	-
%(4735697754905489356)%	-	"<%=ifThen(hasValue(question2c, question2d),""The expression for ABDE's perimeter is 'S+S+T+T'. Or, simply '2*(S+T)'."",""Fill in the expressions for BD and ED, then come back to this field!"")%>"	-	-	-	-	-	-	-	-	-	"Enter NEAT's area, 50."	"<%=ifThen(hasValue(question2a,question2b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 15) by the height (IK = %(Ans3_c)%). Therefore, A = 15 * %(Ans3_c)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height of MILK! Come back to this field after you find their lengths!"")%>"	"Enter FROG's area, 90."	-	-	-
%(-6901947857459427024)%	-	-	"Since you are entering an expression for the base, enter ""S"" into the highlighted area. "	-	"Since LF and RO are parallel, they have the same length. Since LF is 10 centimeters, RO is also 10 centimeters long. Enter 10 in the highlighted field."	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""JM|MJ"",question0a),""Question2 has given you JM = %(Ans3_a)%. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you JM = %(Ans3_a)%. Since "",question0a,"" is parallel to JM, "",question0a,"" = %(Ans3_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	-	"You can choose SP as the base too since NI and SP are parallel. Remember, parallel sides have the same length, and are perpendicular to the same height. Enter either NI or SP into the highlighted field."	Enter either AL or ND into the highlighted field.	-	-	"<%=ifThen(regExMatch(""NT|TN"",question0a),""The base (NT) is %(Ans3_a)% %(unit1word)% long. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Since "",question0a,"" is parallel to %(trgtBase2)%, "",question0a,"" = %(Ans3_a)% as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""LK|LK"",question0a),""Question2 has given you LK = %(Ans3_a)%. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you LK = %(Ans3_a)%. Since "",question0a,"" is parallel to LK, "",question0a,"" = %(Ans3_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	x	-	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""AL|LA"",question0a),""Question2 has given you AL = %(Ans3_a)%. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you AL = %(Ans3_a)%. Since "",question0a,"" is parallel to AL, "",question0a,"" = %(Ans3_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	-
%(-3269485932971333456)%	-	"Did you know that parallel sides on a parallelogram have the SAME length? Knowing this, how would you find the length of BD?"	A perimeter is the sum of the lengths of all the sides of a geometry.	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the triangle? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the triangle? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the triangle? If you are not sure, try finding the formula in the glossary. "	Enter the length of the parallelogram's height here. Not sure which segment that is? What is the label of the height segment?	"You are looking for the length of IK, CUKI's base. <%=ifThen(hasValue(question1d,question1e),""You can find the base(b), if height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'. Do you know the values for CUKI's height(h) and area(A)?"",""What do you need to know in order to solve for the unknown base?"")%>"	Enter the length of the parallelogram's base #2 here. Not sure which segment is base #2? What is the label of base #2?	"Do you know how to find an area of the triangle? If you are not sure, try finding the formula in the glossary. "	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	A perimeter is the sum of the lengths of all the sides of a geometry.
%(-693713474781275369)%	-	-	-	-	"<%=ifThen(hasValue(question3b,question3c),""Your situation is 'Area' = '?' * 'height'. This means a number times 3 gives you 45. What do you have to multiply to 3 to turn it into 45?"",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(question3b,question3c),""Your situation is 'Area' = '?' * 'height'. This means a number times 8 gives you 96. What do you have to multiply to 8 to turn it into 96?"",""Are you sure you are ready to answer this part?"")%>"	-	"<%=ifThen(hasValue(question2a),concat(""The base you chose is "",question2a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Graph B Labels' row to get help finding the base."")%>"	"<%=ifThen(hasValue(question2a),concat(""The base you chose is "",question2a,"". How long is this? Is the length given in the question statement?""),""You have not entered label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Q2 Diagram Labels' row to get help finding the base."")%>"	-	-	"<%=ifThen(hasValue(question3b,question3d),""You can use the perimeter to find the base! A perimeter of a parallelogram is found by adding the lengths of all 4 sides. But, since a parallel pair of segments in a parallelogram has the same length, all you have to do is add 2 bases (NT), and 2 adjacent sides (NE) to get the perimeter."",""Can you think of something else other than an area (A = base * height) that uses the base in its calculation? "")%>"	-	"Take a look at the diagram label of this column, or under ""Base #1"". The base #1 segment label is displayed as RO. Enter the length of RO."	-	"<%=ifThen(hasValue(question3b,question3c),""Your situation is 'Area' = '?' * 'height'. This means a number times 2.1 gives you 4.2. What do you have to multiply to 2.1 to turn it into 4.2?"",""Are you sure you are ready to answer this part?"")%>"	-
